# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
10,0.154,103.76162182300001,grade8
10,0.176,68.257715733,grade9
10,0.198,99.897831096,grade10
10,0.22,1636.982732201,grade11
10,0.44,838.560712702,grade12
10,0.66,737.3779406900001,grade13
10,0.88,393.651110969,grade14
10,1.1,207.122200654,grade15
10,1.32,71.79336318700001,grade16
10,1.54,122.240844909,grade17
10,1.76,176.3716424813,grade18
10,1.98,108.99487467670001,grade19
10,2.2,498.70681622800004,grade20
10,4.4,194.107873004,grade21
10,6.6,65.577643075,grade22
10,8.8,192.174084456,grade23
10,20.9,0,grade24
11,0.002,2.7330643070000002,grade1
11,0.022,0,grade2
11,0.044,0,grade3
11,0.066,0,grade4
11,0.088,0,grade5
11,0.11,0,grade6
11,0.132,0,grade7
11,0.154,0,grade8
11,0.176,0,grade9
11,0.198,0,grade10
11,0.22,0,grade11
11,0.44,0,grade12
11,0.66,0,grade13
11,0.88,0,grade14
11,1.1,0,grade15
11,1.32,0,grade16
11,1.54,0,grade17
11,1.76,0,grade18
11,1.98,0,grade19
11,2.2,0,grade20
11,4.4,0,grade21
11,6.6,0,grade22
11,8.8,0,grade23
11,20.9,0,grade24
12,0.002,69.34432661700001,grade1
12,0.022,272.67501103200004,grade2
12,0.044,149.08297435,grade3
12,0.066,47.555916893,grade4
12,0.088,36.736200279,grade5
12,0.11,14.745500411,grade6
12,0.132,4.0546439350000005,grade7
12,0.154,0,grade8
12,0.176,1.336516824,grade9
12,0.198,4.574617706000001,grade10
12,0.22,11.049606403,grade11
12,0.44,0,grade12
12,0.66,0,grade13
12,0.88,0,grade14
12,1.1,0,grade15
12,1.32,0,grade16
12,1.54,0,grade17
12,1.76,0,grade18
12,1.98,0,grade19
12,2.2,0,grade20
12,4.4,0,grade21
12,6.6,0,grade22
12,8.8,0,grade23
12,20.9,0,grade24
13,0.002,0.033238069,grade1
13,0.022,91.846550867,grade2
13,0.044,65.21763964,grade3
13,0.066,6.115591773,grade4
13,0.088,10.692691923,grade5
13,0.11,0,grade6
13,0.132,0,grade7
13,0.154,0,grade8
13,0.176,0,grade9
13,0.198,0,grade10
13,0.22,0,grade11
13,0.44,0,grade12
13,0.66,0,grade13
13,0.88,0,grade14
13,1.1,0,grade15
13,1.32,0,grade16
13,1.54,0,grade17
13,1.76,0,grade18
13,1.98,0,grade19
13,2.2,0,grade20
13,4.4,0,grade21
13,6.6,0,grade22
13,8.8,0,grade23
13,20.9,0,grade24
14,0.002,189.135899445,grade1
14,0.022,280.283939717,grade2
14,0.044,305.01267216,grade3
14,0.066,103.455969889,grade4
14,0.088,60.550147131,grade5
14,0.11,35.108080168,grade6
14,0.132,14.472707431000002,grade7
14,0.154,78.125319183,grade8
14,0.176,14.980428501,grade9
14,0.198,18.382551457,grade10
14,0.22,164.070626686,grade11
14,0.44,65.276716628,grade12
14,0.66,25.584647505000003,grade13
14,0.88,0,grade14
14,1.1,0,grade15
14,1.32,0.15269915,grade16
14,1.54,0.42781533800000004,grade17
14,1.76,0,grade18
14,1.98,0,grade19
14,2.2,0,grade20
14,4.4,0,grade21
14,6.6,0,grade22
14,8.8,0,grade23
14,20.9,0,grade24
15,0.002,29.10876568,grade1
15,0.022,979.4517272280001,grade2
15,0.044,269.76594150100004,grade3
15,0.066,139.602053874,grade4
15,0.088,26.588188527000003,grade5
15,0.11,62.645042063000005,grade6
15,0.132,74.62996391300001,grade7
15,0.154,29.798232268000003,grade8
15,0.176,10.539517653,grade9
15,0.198,17.303006047,grade10
15,0.22,62.62963117100001,grade11
15,0.44,128.13689882900002,grade12
15,0.66,56.002571103,grade13
15,0.88,8.444249753000001,grade14
15,1.1,40.526484162,grade15
15,1.32,30.083047921000002,grade16
15,1.54,36.520016403,grade17
15,1.76,7.626336039000001,grade18
15,1.98,2.715766812,grade19
15,2.2,47.09423538,grade20
15,4.4,50.715443050000005,grade21
15,6.6,26.490717004,grade22
15,8.8,0.021008489,grade23
15,20.9,0.009838818000000001,grade24
16,0.002,1.2554912390000001,grade1
16,0.022,81.4106467,grade2
16,0.044,54.693901700000005,grade3
16,0.066,12.1635246,grade4
16,0.088,0.3297769868,grade5
16,0.11,0,grade6
16,0.132,0,grade7
16,0.154,0,grade8
16,0.176,0,grade9
16,0.198,0,grade10
16,0.22,0.08261392000000001,grade11
16,0.44,0,grade12
16,0.66,0,grade13
16,0.88,0,grade14
16,1.1,0,grade15
16,1.32,0,grade16
16,1.54,0,grade17
16,1.76,0,grade18
16,1.98,0,grade19
16,2.2,0,grade20
16,4.4,0,grade21
16,6.6,0,grade22
16,8.8,0,grade23
16,20.9,0,grade24
17,0.002,49.646367960000006,grade1
17,0.022,86.06958565000001,grade2
17,0.044,126.298718108,grade3
17,0.066,219.89174612000002,grade4
17,0.088,60.310705054,grade5
17,0.11,48.906023909000005,grade6
17,0.132,16.536178363,grade7
17,0.154,7.893957043,grade8
